Battery Pack Voltage (V),Battery Current (A),Battery Capacity (Kwh),Internal Resistance (ohm),Voc,SoC (%),Full Charge Battery Capacity (kwh),SoH (%),Available Energy (kwh),Power Drawn (W),Power (kW),Charge Current Capacity (Ah),Duration (hrs),Remainig Energy (kwh),Range150 (km),Speed (km/hr),Range145 (km),Speed (km/hr),Range140 (km),Speed (km/hr)
56.78,7.51,0.4264178,0.25,58.6575,99.29802956,3.183216,99.29802957,2.937213264,426.4178,0.4264178,54.4,7.2436751,0.423424473,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.125698324,57.28399441,92.53199218,3.183216,92.53199217,2.937218114,423.1134,0.4231134,54.4,7.2436751,0.391515258,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.188547486,57.75599162,94.85710158,3.183216,94.85710159,2.937218114,423.1134,0.4231134,54.4,7.2436751,0.401353108,150,20.70772059,145,20.01746324,140,19.32720588
56.78,7.51,0.4264178,0.178666667,58.12178667,96.65904762,3.183216,96.65904761,2.937587763,426.4178,0.4264178,54.4,7.2436751,0.412171384,150,20.70772059,145,20.01746324,140,19.32720588
56.78,7.53,0.4275534,0.251404494,58.67307584,99.37475785,3.183216,99.37475785,2.944097592,427.5534,0.4275534,54.4,7.224435591,0.424880156,150,20.76286765,145,20.07077206,140,19.37867647
56.78,7.51,0.4264178,0.25,58.6575,99.29802956,3.183216,99.29802957,2.866606014,426.4178,0.4264178,54.4,7.2436751,0.423424473,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.937213513,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
56.34,7.51,0.4231134,0.125698324,57.28399441,92.53199218,3.183216,92.53199217,2.866605818,423.1134,0.4231134,54.4,7.2436751,0.391515258,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.51,0.4231134,0.18907563,57.75995798,94.87664031,3.183216,94.87664032,2.937217853,423.1134,0.4231134,54.4,7.2436751,0.401435779,150,20.70772059,145,20.01746324,140,19.32720588
56.34,7.53,0.4242402,0.189606742,57.76773876,94.91496928,3.183216,94.9149693,2.937217853,424.2402,0.4242402,54.4,7.224435591,0.402667456,150,20.76286765,145,20.07077206,140,19.37867647
